URI,Label,Comment,SubClassOf,Vocabulary
http://mlcommons.org/croissant/BoundingBox,Label,A data type representing a bounding box.,http://schema.org/Text,Core
http://mlcommons.org/croissant/ContentExtractionEnumeration,ContentExtractionEnumeration,"Specifies which content to extract from a file. One of ""all"", ""lines"", or ""lineNumbers"".",http://schema.org/Enumeration,Core
http://mlcommons.org/croissant/DataSource,DataSource,"A source of data, optionally transformed before being used.",http://schema.org/Intangible,Core
http://mlcommons.org/croissant/DataType,DataType,"The data type of values expected for a Field in a RecordSet. This class is inspired by the Datatype class in CSVW. In addition to simple atomic types, types can be semantic types, such as schema.org classes, as well types defined in other vocabularies.",http://schema.org/URL,Core
http://mlcommons.org/croissant/Extract,Extract,"Specifies how to extract data from a DataSource. The extraction mechanism depends on the type of content, e.g., a column name for tabular data, or a jsonPath for JSON data.",http://schema.org/Intangible,Core
http://mlcommons.org/croissant/Field,Field,"A component of the structure of a RecordSet, such as a column of a table.",http://schema.org/Intangible,Core
http://mlcommons.org/croissant/FileObject,FileObject,An individual file that is part of a dataset.,http://schema.org/DataDownload,Core
http://mlcommons.org/croissant/FilePropertyEnumeration,FilePropertyEnumeration,"Specifies a property of a FileObject. One of ""fullPath"" or ""fileName"".",http://schema.org/Enumeration,Core
http://mlcommons.org/croissant/FileSet,FileSet,"A set of homogeneous files extracted from a container, optionally filtered by inclusion and/or exclusion filters.",http://schema.org/DataDownload,Core
http://mlcommons.org/croissant/Format,Format,"Specifies how to parse the format of the data from a string representation. For example, format may hold a date format string, a number format, or a bounding box format.",http://schema.org/Text,Core
http://mlcommons.org/croissant/Label,Label,A machine learning label.,http://schema.org/Intangible,Core
http://mlcommons.org/croissant/RecordSet,RecordSet,"A description of a set of structured records from one or more data sources and their structure, expressed as a set of fields.",http://schema.org/Intangible,Core
http://mlcommons.org/croissant/SegmentationMask,SegmentationMask,A data type representing a segmentation mask.,http://schema.org/StructuredValue,Core
http://mlcommons.org/croissant/Split,Split,"Splits for training a machine learning, typically test, train and validation.",http://schema.org/Enumeration,Core
http://mlcommons.org/croissant/Transform,Transform,"Specifies how to transform data extracted from a DataSource. The type of transformation depends on the type of content, e.g., a regular expression to appy on text, or a jsonQuery to transform JSON content.",http://schema.org/Intangible,Core
