URI,Label,Comment,Domain,Range,Vocabulary
http://mlcommons.org/croissant/geo/bandConfiguration,bandConfiguration,"Configuration describing raster band organization and semantics for a dataset or asset (e.g., band ordering and names).","http://mlcommons.org/croissant/Field, http://schema.org/Dataset","http://mlcommons.org/croissant/geo/BandConfiguration, http://schema.org/Text",Geo
http://mlcommons.org/croissant/geo/bandNamesList,bandNamesList,Ordered list of band names corresponding to the band stack described by geocr:bandConfiguration.,http://mlcommons.org/croissant/geo/BandConfiguration,http://schema.org/Text,Geo
http://mlcommons.org/croissant/geo/bandwidth,bandwidth,"Spectral bandwidth for a geocr:SpectralBand entry (typically in geocr:spectralBandMetadata), expressed as a QuantitativeValue.",http://mlcommons.org/croissant/geo/SpectralBand,http://schema.org/QuantitativeValue,Geo
http://mlcommons.org/croissant/geo/centerWavelength,centerWavelength,"Center wavelength for a geocr:SpectralBand entry (typically in geocr:spectralBandMetadata), expressed as a QuantitativeValue.",http://mlcommons.org/croissant/geo/SpectralBand,http://schema.org/QuantitativeValue,Geo
http://mlcommons.org/croissant/geo/channelList,channelList,"List of wavelength channels (e.g., 171Å, 193Å) used within geocr:MultiWavelengthConfiguration.",http://mlcommons.org/croissant/geo/MultiWavelengthConfiguration,http://schema.org/Text,Geo
http://mlcommons.org/croissant/geo/coordinateReferenceSystem,coordinateReferenceSystem,"Coordinate reference system (CRS) identifier (e.g., EPSG code) used to interpret spatial data in the dataset.",http://schema.org/Dataset,http://schema.org/Text,Geo
http://mlcommons.org/croissant/geo/instrument,instrument,Instrument identifier used within geocr:SolarInstrumentCharacteristics (for later mapping to SPASE).,http://mlcommons.org/croissant/geo/SolarInstrumentCharacteristics,http://schema.org/Text,Geo
http://mlcommons.org/croissant/geo/multiWavelengthConfiguration,multiWavelengthConfiguration,Composite property to group multi-wavelength configuration information for Space Weather / heliophysics datasets; intended to map to SPASE constructs.,http://schema.org/Dataset,"http://mlcommons.org/croissant/geo/MultiWavelengthConfiguration, http://schema.org/Text",Geo
http://mlcommons.org/croissant/geo/observatory,observatory,Observatory/platform identifier used within geocr:SolarInstrumentCharacteristics (for later mapping to SPASE).,http://mlcommons.org/croissant/geo/SolarInstrumentCharacteristics,http://schema.org/Text,Geo
http://mlcommons.org/croissant/geo/recordEndpoint,recordEndpoint,"A service endpoint that provides programmatic access to the dataset's metadata records (e.g., listing, paging, and filtering records).",http://schema.org/Dataset,"http://schema.org/Text, http://schema.org/URL",Geo
http://mlcommons.org/croissant/geo/samplingStrategy,samplingStrategy,"Description of how samples were selected or constructed (e.g., chip/windowing strategy, filtering criteria) to support reproducibility and interpretation.",http://schema.org/Dataset,http://schema.org/Text,Geo
http://mlcommons.org/croissant/geo/solarInstrumentCharacteristics,solarInstrumentCharacteristics,Composite property to group solar/heliophysics instrument characteristics for Space Weather datasets; intended to map to SPASE constructs.,http://schema.org/Dataset,"http://mlcommons.org/croissant/geo/SolarInstrumentCharacteristics, http://schema.org/Text",Geo
http://mlcommons.org/croissant/geo/spatialBias,spatialBias,"Description of spatial representativeness limitations (e.g., geographic concentration, under-sampled regions/biomes) that may affect model generalization and evaluation.",http://schema.org/Dataset,http://schema.org/Text,Geo
http://mlcommons.org/croissant/geo/spatialIndex,spatialIndex,"Precomputed spatial index token(s) (e.g., DGGS cell ID or geohash-like key) to accelerate coarse spatial filtering and discovery at scale.","http://mlcommons.org/croissant/RecordSet, http://schema.org/Dataset",http://schema.org/Text,Geo
http://mlcommons.org/croissant/geo/spatialResolution,spatialResolution,"Nominal spatial resolution for the dataset or collection (e.g., '30m' or a QuantitativeValue with units). May be provided at dataset level or at record/collection level when resolution varies.","http://mlcommons.org/croissant/RecordSet, http://schema.org/Dataset","http://schema.org/QuantitativeValue, http://schema.org/Text",Geo
http://mlcommons.org/croissant/geo/spectralBandMetadata,spectralBandMetadata,"Per-band spectral metadata for EO imagery (e.g., center wavelength, bandwidth), represented as one or more geocr:SpectralBand entries.","http://mlcommons.org/croissant/Field, http://schema.org/Dataset","http://mlcommons.org/croissant/geo/SpectralBand, http://schema.org/Text",Geo
http://mlcommons.org/croissant/geo/temporalResolution,temporalResolution,"Temporal cadence of the dataset or collection (e.g., 1 month), typically expressed as a QuantitativeValue (value + unit), or as text. May be provided at dataset level or at record/collection level when cadence varies.","http://mlcommons.org/croissant/RecordSet, http://schema.org/Dataset","http://schema.org/QuantitativeValue, http://schema.org/Text",Geo
http://mlcommons.org/croissant/geo/timeSeriesIndex,timeSeriesIndex,"Identifies the record-level field used to order/index observations in a time series (e.g., a timestamp field in a RecordSet).",http://mlcommons.org/croissant/RecordSet,"http://mlcommons.org/croissant/Field, http://schema.org/Text",Geo
http://mlcommons.org/croissant/geo/totalBands,totalBands,Total number of bands for an asset or dataset described by geocr:bandConfiguration.,http://mlcommons.org/croissant/geo/BandConfiguration,http://schema.org/Integer,Geo
