URI,Label,Comment,Domain,Range,Vocabulary
http://mlcommons.org/croissant/RAI/annotationsPerItem,annotationsPerItem,"Number of human labels per dataset item, if applicable.",https://schema.org/Dataset,https://schema.org/Text,RAI
http://mlcommons.org/croissant/RAI/annotatorDemographics,annotatorDemographics,"List of demographics specifications about the annotators, if applicable.",https://schema.org/Dataset,https://schema.org/Text,RAI
http://mlcommons.org/croissant/RAI/dataAnnotationAnalysis,dataAnnotationAnalysis,"Considerations related to the process of converting the ""raw"" annotations into the labels that are ultimately packaged in a dataset - Uncertainty or disagreement between annotations on each instance as a signal in the dataset, analysis of systematic disagreements between annotators of different socio demographic group,  how the final dataset annotations will relate to individual annotator responses.",https://schema.org/Dataset,https://schema.org/Text,RAI
http://mlcommons.org/croissant/RAI/dataAnnotationPlatform,dataAnnotationPlatform,"Platform, tool, or library used to collect annotations by human annotators, if applicable.",https://schema.org/Dataset,https://schema.org/Text,RAI
http://mlcommons.org/croissant/RAI/dataAnnotationProtocol,dataAnnotationProtocol,"Description of annotations (labels, ratings) produced, including how these were created or authored - Annotation Workforce Type, Annotation Characteristic(s), Annotation Description(s), Annotation Task(s), Annotation Distribution(s).",https://schema.org/Dataset,https://schema.org/Text,RAI
http://mlcommons.org/croissant/RAI/dataBiases,dataBiases,"Description of biases in dataset, if applicable.",https://schema.org/Dataset,https://schema.org/Text,RAI
http://mlcommons.org/croissant/RAI/dataCollection,dataCollection,Description of the data collection process.,https://schema.org/Dataset,https://schema.org/Text,RAI
http://mlcommons.org/croissant/RAI/dataCollectionMissingData,dataCollectionMissingData,Description of missing data in structured/unstructured form.,https://schema.org/Dataset,https://schema.org/Text,RAI
http://mlcommons.org/croissant/RAI/dataCollectionRawData,dataCollectionRawData,Description of the raw data i.e. source of the data.,https://schema.org/Dataset,https://schema.org/Text,RAI
http://mlcommons.org/croissant/RAI/dataCollectionTimeframe,dataCollectionTimeframe,"Timeframe in terms of start and end date of the collection process, that it described as a DateTime indicating a time period in <a href=""https://en.wikipedia.org/wiki/ISO_8601#Time_intervals"">ISO 8601 time interval format</a>. For example, a collection time frame ranging from 2020 - 2022 can be indicated in ISO 8601 interval format via ""2020/2022"".",https://schema.org/Dataset,https://schema.org/DateTime,RAI
http://mlcommons.org/croissant/RAI/dataCollectionType,dataCollectionType,"Define the data collection type. Recommended values: Surveys, Secondary Data analysis, Physical data collection, Direct measurement, Document analysis, Manual Human Curator, Software Collection, Experiments, Web Scraping, Web API, Focus groups, Self-reporting, Customer feedback data, User-generated content data, Passive Data Collection, Others.",https://schema.org/Dataset,https://schema.org/Text,RAI
http://mlcommons.org/croissant/RAI/dataImputationProtocol,dataImputationProtocol,"Description of data imputation process, if applicable.",https://schema.org/Dataset,https://schema.org/Text,RAI
http://mlcommons.org/croissant/RAI/dataLimitations,dataLimitations,"Known limitations - Data generalization limits (e.g related to data distribution, data quality issues, or data sources) and on-recommended uses, if applicable.",https://schema.org/Dataset,https://schema.org/Text,RAI
http://mlcommons.org/croissant/RAI/dataManipulationProtocol,dataManipulationProtocol,"Description of data manipulation process, if applicable.",https://schema.org/Dataset,https://schema.org/Text,RAI
http://mlcommons.org/croissant/RAI/dataPreprocessingProtocol,dataPreprocessingProtocol,"Description of the steps that were required to bring collected data to a state that can be processed by an ML model/algorithm, e.g. filtering out incomplete entries etc, if applicable.",https://schema.org/Dataset,https://schema.org/Text,RAI
http://mlcommons.org/croissant/RAI/dataReleaseMaintenancePlan,dataReleaseMaintenancePlan,"Versioning information in terms of the updating timeframe, the maintainers, and the deprecation policies.",https://schema.org/Dataset,https://schema.org/Text,RAI
http://mlcommons.org/croissant/RAI/dataSocialImpact,dataSocialImpact,"Discussion of social impact, if applicable.",https://schema.org/Dataset,https://schema.org/Text,RAI
http://mlcommons.org/croissant/RAI/dataUseCases,dataUseCases,"Dataset Use(s) - Training, Testing, Validation, Development or Production Use, Fine Tuning, Others (please specify), Usage Guidelines. Recommended uses.",https://schema.org/Dataset,https://schema.org/Text,RAI
http://mlcommons.org/croissant/RAI/machineAnnotationTools,machineAnnotationTools,"List of software used for data annotation (e.g., concept extraction, NER, and additional characteristics of the tools used for annotation to allow for replication or extension).",https://schema.org/Dataset,https://schema.org/Text,RAI
http://mlcommons.org/croissant/RAI/personalSensitiveInformation,personalSensitiveInformation,"Sensitive Human Attribute(s)- Gender, Socio-economic status, Geography, Language, Age, Culture, Experience or Seniority, Others (please specify), if applicable.",https://schema.org/Dataset,https://schema.org/Text,RAI
